Spanish,English
de,from
que,that
no,no
a,to
la,the
el,the
y,and
es,it is
en,on
lo,it
un,a
por,by
qué,that
me,I
una,a
los,the
se,I know
te,tea
con,with
para,for
está,is
mi,me
pero,but
sí,Yes
si,Yes
bien,well
eso,that
su,its
las,the
yo,me
del,of the
como,What
aquí,here
tu,your
al,to the
más,plus
le,you
esto,this
todo,everything
ya,already
estoy,am
ahora,now
muy,very
ha,he has
esta,is
así,So
vamos,we go
algo,something
hay,there are
bueno,well
tengo,I have
él,he
cuando,when
estás,these
sé,he
tú,your
nos,us
nada,any
cómo,excuse me
este,this
o,or
he,I
ser,be
tiene,have
puedo,Can I
ella,she
quiero,want
hacer,do
fue,it was
gracias,Thank you
vez,time
era,was
soy,I am
sólo,single
todos,everybody
porque,because
son,are
tienes,you have
creo,I think
voy,go
sabes,you know
estaba,was
puede,may
eres,are
ese,that
usted,you
entonces,then
hola,Hello there
solo,only
verdad,truth
casa,home
tan,so
quién,who
sus,their
tiempo,weather
dos,two
esa,this
nunca,never
dónde,where
va,he
oh,oh
favor,favor
mucho,much
mí,my
quieres,want
siento,I feel
señor,Mister
mejor,better
hace,does
has,you
decir,tell
también,too
sobre,upon
dios,God
sin,without
tenemos,have
están,is it so
ti,you
puedes,you can
ver,watch
hombre,man
vida,life
alguien,somebody
cosas,stuff
siempre,forever
hasta,until
ahí,there
ir,to go
años,years
antes,before
estar,to be
ni,neither
poco,little
día,day
uno,one
noche,evening
hecho,done
mis,my
estamos,we're
otra,other
acuerdo,agreement
trabajo,job
nosotros,U.S
parece,It seems
gente,people
sea,be
padre,dad
mira,sight
mismo,same
dijo,said
nadie,nobody
quiere,wants
podría,could
hablar,talk
vas,you go
ellos,them
sr.,Mr.
tal,such
pasa,pass
fuera,out of
después,after
han,they have
desde,from
dinero,money
mundo,world
claro,Sure
momento,moment
les,them
tener,to have
estado,state
otro,other
había,there was
mañana,morning
tenía,I had
madre,mother
vale,okay
lugar,place
haciendo,doing
donde,where
seguro,safe
sabe,knows
podemos,we can
tus,your
espera,waiting
nuevo,new
sido,been
cosa,thing
hijo,child
allí,there
menos,less
tipo,kind
amigo,friend
gran,big
nuestro,our
mujer,woman
mamá,mother
luego,later
papá,dad
días,days
dice,He says
hoy,today
tres,three
buena,good
necesito,needed
dije,I said
oye,Hey
gusta,like
quería,wanted
será,will be
haber,to have
parte,part
todas,all
crees,think
buen,good
conmigo,with me
nombre,Name
mierda,shit
nuestra,our
mal,wrong
debe,has to
